;full_text;created_at;retweet_count;favorite_count
1145;@SSkinnR ... or three... or four... who's counting?!;Fri Mar 01 17:02:24 +0000 2019;0;1
1144;@djbelieve @meatymcsorley @ModernTriDad @kristaforwalkin For exclusive deals and coupons sign up for our newsletter! https://t.co/O2H2eu3BMX;Fri Mar 01 17:05:14 +0000 2019;0;3
1143;The real MVP. https://t.co/7qJD9LHym8;Fri Mar 01 21:55:06 +0000 2019;8;192
1142;@perspectivesyyc @awrestaurants Love that we are a part of your father/ son date 😍;Fri Mar 01 21:57:08 +0000 2019;0;0
1141;"Could this picture BE any better? - *probably Chandler Bing* 

Find out if #BeyondSausage is in your local meat case here ➡️ https://t.co/HnM2JHRwup

📸 : @unionmarketrva https://t.co/9ZSO1vniJ2";Sat Mar 02 00:02:01 +0000 2019;16;135
1140;"Attn Canada! A game-changing option has landed for all 🌯 lovers. We've partnered with Quesada to launch Canada's 1st Beyond Meat Burrito made w/ our Feisty Beyond Beef Crumbles. 

Now available nationally at nearly 120 Quesada Burritos &amp; Tacos across Canada! #GoBeyond https://t.co/6xXfQlz3XB";Mon Mar 04 00:10:29 +0000 2019;45;332
1139;@adamheatlie Working on it!;Mon Mar 04 00:35:15 +0000 2019;0;3
1138;@RedheadsLife So happy we are able to bring the delicious taste of meat back into your life!;Mon Mar 04 22:45:08 +0000 2019;1;5
1137;@MercifulWisdom This makes us wish we had your lunch plans! Check out the full Beyond Chili recipe here: https://t.co/jLAlzY3Oa9;Tue Mar 05 01:30:53 +0000 2019;0;0
1136;@AutumnicBomb_ You are very welcome! Excited to gain your support 😋;Tue Mar 05 01:31:37 +0000 2019;0;1
1135;"Beyond Beef, the latest innovation from Beyond Meat, made from simple plant-based ingredients, delivers on the taste, texture and versatility of ground beef.

https://t.co/wA1Wro4Gqx";Tue Mar 05 15:55:11 +0000 2019;303;1114
1134;@_helllax A very common side effect of scrolling through our feed 😋;Tue Mar 05 18:04:27 +0000 2019;1;1
1133;"Now you can make your own burger patties (and tacos and empanadas and meatballs and more...) #BeyondBeef
https://t.co/QofVjnmDPz";Tue Mar 05 22:34:30 +0000 2019;193;864
1132;@HartleySawyer Thanks for all of your support Hartley!;Wed Mar 06 00:59:18 +0000 2019;0;0
1131;@esthers_kitchen Beyond Beef will be hitting stores in 2019. To find out when Beyond Beef will hit a grocery store meat case or restaurant near you, sign up for our newsletter here: https://t.co/lCQ527ielJ.;Wed Mar 06 01:01:12 +0000 2019;0;12
1130;@nutfreevegan So pretty!;Wed Mar 06 18:04:41 +0000 2019;0;2
1129;"@drew_campbell Apologies for the difficulty, Drew. The nutrition details are listed under each product's page, under the tab ""product details"". Here is a link to The Beyond Burger nutrition information. https://t.co/AxknCqDJsJ";Wed Mar 06 18:38:39 +0000 2019;0;0
1128;@GoodFeelngs Beyond Beef will be hitting stores in 2019. To find out when Beyond Beef will hit a grocery store meat case or restaurant near you, sign up for our newsletter here: https://t.co/lCQ527ielJ.;Thu Mar 07 00:05:32 +0000 2019;0;0
1127;"Yesterday we unveiled our latest breakthrough in plant-based food innovation: Beyond Beef®. Made from simple, plant-based ingredients, Beyond Beef delivers on the taste, texture and versatility of ground beef... without the baggage.

Learn more here: https://t.co/tv7xnLsIea https://t.co/QCcapTyIbW";Thu Mar 07 01:33:03 +0000 2019;167;797
1126;"Are you here at Natural Products Expo West? If so, come be among the first to taste the latest breakthrough in plant-based food innovation, #BeyondBeef! Hall E, Booth #5468

#expowest2019 https://t.co/1dttXQTnGM";Thu Mar 07 17:36:05 +0000 2019;5;34
1125;"The meat case is transforming. This is the #FutureofProtein 👊

#BeyondBeef coming later in 2019. If you’re here at #expowest, come be among the first to taste it! Booth 5468, Hall E https://t.co/6iI5oqhrAI";Fri Mar 08 19:16:49 +0000 2019;58;382
1124;@the_staggie We love you back!;Sat Mar 09 00:22:52 +0000 2019;1;8
1123;@LL108 @unionmarketrva So great to hear!;Sat Mar 09 02:29:30 +0000 2019;0;0
1122;@the_staggie We love you too Justin. Thank you for existing.;Sat Mar 09 16:01:04 +0000 2019;1;5
1121;@aHeatherSalerno Heather, happy to hear your son enjoyed The #BeyondBurger at @AwCanada.  Good news, our products are sold in grocery stores and restaurants across the US.  Check out our store locator to find one near you: https://t.co/26DDgD7f4G;Sat Mar 09 16:11:54 +0000 2019;0;1
1120;@FlavorHouston @TonyGonzalez88 You can also find Beyond Meat in over 11,000 restaurants, hotels, universities, and beyond, mostly in the US, but our international business is growing here too. Check out our store locator to find a restaurant or grocery store near you: https://t.co/26DDgD7f4G;Sun Mar 10 15:05:27 +0000 2019;0;1
1119;"It's true! Beyond Beef® - made from simple, plant-based ingredients, Beyond Beef delivers on the taste, texture and versatility of ground beef... without the baggage.

https://t.co/5EV9OiS16k";Sun Mar 10 23:35:00 +0000 2019;65;327
1118;"Canada, say hello to your new best friend: The Beyond Meat Sausage &amp; Egger. Available exclusively at @AWCanada starting tomorrow, this brand new menu item is made with one of our latest breakthrough products - Beyond Breakfast Sausage! 

More info here ➡️ https://t.co/EQIIGPo4Eb https://t.co/RvXuGCOoA6";Mon Mar 11 03:45:06 +0000 2019;56;278
1117;"@styrohome @AWCanada For a plant-based option order the Beyond Sausage &amp; Veggie - served with tomato and lettuce!";Mon Mar 11 04:11:20 +0000 2019;0;7
1116;@mandabelleau Good news, Amanda! The Beyond Burger will be making its way to Canadian grocery stores later this year.;Tue Mar 12 21:34:21 +0000 2019;0;0
1115;"It’s time to splurge on extra guac because @chronictacos just added Beyond Beef Crumbles to all 51 of their US menus. 🎉  

Learn how to beef up your #TacoTuesday here ➡️ https://t.co/B4B4REsbVM https://t.co/FW0WYy6OLn";Wed Mar 13 00:00:10 +0000 2019;23;81
1114;"@NatalkaL @jannarden @AWCanada Bailey looks like a good girl, she deserves an ""accidental"" drop of The Beyond Burger 😉";Wed Mar 13 18:58:56 +0000 2019;0;1
1113;@_PeachFaygo Can't wait to hear how much you enjoyed them!;Wed Mar 13 19:03:03 +0000 2019;0;3
1112;@RunCrissieRun @AnchorBrewing @Starbucks Nothing like some #BeyondSausage to fuel up for that 40-page paper!;Thu Mar 14 00:05:28 +0000 2019;0;1
1111;@_PeachFaygo So great to hear!;Thu Mar 14 00:26:46 +0000 2019;0;0
1110;@ajtxx @BurgerBeyond So happy you enjoyed The #BeyondBurger! It is sold in over 350 Tesco stores in the UK.  Check out our locator to find a location near you: https://t.co/26DDgDoPWe;Thu Mar 14 16:59:30 +0000 2019;0;0
1109;@eatdrinkmb @allbarone Sounds like a great plan to us as well!;Thu Mar 14 17:01:28 +0000 2019;0;1
1108;Demand for Beyond Sausage® Grows as Retailers Nationwide Stock The Plant-Based Links in The Meat Case | Business Wire https://t.co/mt5LXFfZYf;Thu Mar 14 17:40:23 +0000 2019;49;294
1107;@aflyfellow Beyond Beef will be in stores in 2019. Stay up-to-date with our latest news by signing up for our newsletter: https://t.co/O2H2eu3BMX;Fri Mar 15 00:00:50 +0000 2019;0;1
1106;#fridaymood https://t.co/x36FsK2D5N;Fri Mar 15 16:57:52 +0000 2019;6;83
1105;Saving the environment and your wallet! Read more about Beyond Meat’s plans to make plant-based meat the more affordable choice @forbes https://t.co/CzBROUsaE2;Fri Mar 15 19:28:40 +0000 2019;46;204
1104;@joesabin We appreciate the feedback, Joe! We recently shifted from a plastic to fully compostable tray for Beyond Sausage and are working on finding more environmentally friendly packaging for all of our products;Fri Mar 15 20:19:33 +0000 2019;0;1
1103;@peta 🍔🌱❤️;Fri Mar 15 22:23:44 +0000 2019;1;12
1102;"We're bringing the Irish Pub to you this St. Paddy's Day with this Beyond Pub Burger. 🍀  

Check out the full recipe here➡️  https://t.co/R5Z9kGwmti https://t.co/AMIn0S91Il";Sat Mar 16 00:21:01 +0000 2019;25;145
1101;Happy #StPatricksDay! https://t.co/cn4pUndGVw;Sun Mar 17 19:37:23 +0000 2019;28;286
1100;"The Million Dollar Vegan, made our day by stopping by our HQ. If you haven't heard, this inspirational 12-year-old wrote a letter to the Pope to get him to go vegan for Lent.

Check out her visit here ⬇️ 
https://t.co/DzyTky1U4O";Mon Mar 18 18:41:36 +0000 2019;11;56
1099;@kingdomofben @HonestSeth Thanks for reaching out Ben, we are happy to share the #BeyondBurger is now available at @ottosburger in Germany! Check out our store locator to find a location near you. https://t.co/26DDgDoPWe;Tue Mar 19 00:33:12 +0000 2019;0;0
1098;@barkingonion @TakeItEasyTocci There are countless ways to prepare #BeyondSausage. Check out our recipe page for some tasty meal inspo! https://t.co/A7Hy30pGLg;Tue Mar 19 00:35:06 +0000 2019;1;2
1097;@victorygirl Thanks for your support, Cheri! Glad we could help.;Tue Mar 19 16:06:01 +0000 2019;0;0
1096;@Baphometta_ Yum! Thanks for your support 😍;Tue Mar 19 16:06:36 +0000 2019;0;1
1095;@steelerfanation @AWCanada Happy you love the Beyond Meat Sausage Egger!;Tue Mar 19 16:09:51 +0000 2019;0;0
1094;"Nothing says #TacoTuesday like... tostadas! 

Check out this tasty Beyond Burger tostada recipe made by @nutfreevegan  here ➡️ https://t.co/sor2zpKAMf https://t.co/ICqUBs8NXd";Tue Mar 19 22:30:06 +0000 2019;7;48
1093;Best way to celebrate the #firstdayofspring?;Wed Mar 20 16:46:11 +0000 2019;7;27
1092;@chasityyxo We are too 😉;Wed Mar 20 23:49:11 +0000 2019;0;1
1091;We 👀 you @KyrieIrving #BeyondAmbassador https://t.co/lvrLcnA8bg;Thu Mar 21 00:54:10 +0000 2019;3;61
1090;@nutfreevegan We have 😋;Thu Mar 21 19:08:52 +0000 2019;0;1
1089;#BeyondBurger spotted at Dodger Stadium 👀 https://t.co/XWZJ4VaAUy;Thu Mar 21 22:50:07 +0000 2019;87;655
1088;@Dodgers 👀;Fri Mar 22 00:21:36 +0000 2019;0;16
1087;@4n6rules Yes 🥳 We make 100% plant-based meats like the #BeyondBurger and #BeyondSausage.  Check out all of our products here: https://t.co/BwooIfeWQc;Fri Mar 22 18:07:41 +0000 2019;1;2
1086;@thebrycekmills @DodgerStadiumFB @redturn2 Same.;Fri Mar 22 18:12:18 +0000 2019;0;1
1085;"Our favorite model - The Beyond Famous Star from @CarlsJr.
📸: @TheNaughtyFork https://t.co/gLGd51IU7G";Fri Mar 22 23:21:01 +0000 2019;20;178
1084;"Making animals and humans alike happy.  Read more about Beyond Meat’s plans to make plant-based meat the more affordable choice. @forbes

https://t.co/qzVJsDesbv";Mon Mar 25 01:51:36 +0000 2019;78;313
1083;@narendra @CarlsJr Wow, nice job! We only did the last part 😋;Mon Mar 25 02:17:51 +0000 2019;0;1
1082;Same. https://t.co/cvZI7yVlpj;Mon Mar 25 02:27:37 +0000 2019;6;118
1081;Los Angeles @Dodgers unveil mouthwatering food options (Hello Beyond Burger!!!) for upcoming season https://t.co/6IKoON5TTT via @abc7;Mon Mar 25 17:04:09 +0000 2019;20;127
1080;"That moment you bite into #BeyondSausage for the first time.
📸: @veganmechanic https://t.co/ppScMuiOWK";Mon Mar 25 23:51:02 +0000 2019;16;73
1079;"""Beyond Meat is going to be huge this year throughout the building.” - Executive Chef Ryan Evans at Dodger Stadium https://t.co/EamXw4ENJh";Tue Mar 26 19:37:18 +0000 2019;15;140
1078;@MagnificentVee We love you.;Wed Mar 27 20:18:57 +0000 2019;0;2
1077;#GoBeyond Play of the Week @CP3. https://t.co/PIx4EZKID2;Wed Mar 27 22:51:11 +0000 2019;5;34
1076;"MLB's leading stadiums #GoBeyond on #OpeningDay.  

Learn more about which ballparks are serving up your favorite Beyond Meat options here➡️https://t.co/N4aVKPDTdr

@Dodgers @Mariners @Yankees @Angels @Royals @Astros @Rangers https://t.co/qmbQodoHW5";Fri Mar 29 01:00:09 +0000 2019;17;127
1075;@zoebchance We're blushing ☺️;Fri Mar 29 16:32:54 +0000 2019;0;1
1074;@KennyL4brecque Thanks Kenny. You're awesome!;Fri Mar 29 16:33:30 +0000 2019;0;0
1073;@AshleyBlaine https://t.co/pLjJfl3Ldh;Fri Mar 29 16:42:56 +0000 2019;0;3
1072;#Freezergoals https://t.co/sfRL6Bky0D;Mon Apr 01 03:06:46 +0000 2019;2;76
1071;@barquebbq Also not a joke: we are sprinting over. It looks so delicious!;Tue Apr 02 01:09:18 +0000 2019;0;3
1070;@emlavs @AWCanada Hopefully all happy tears!;Tue Apr 02 01:16:45 +0000 2019;0;1
1069;@ilovemyvegangf The possibilities are endless. Check out how you can join our team here. https://t.co/Ozi7OEOgxF;Tue Apr 02 01:19:27 +0000 2019;0;1
1068;@weird_honey11 Such a tasty addiction!;Tue Apr 02 01:20:26 +0000 2019;0;0
1067;#MondayMood https://t.co/vJ0YXG165K;Tue Apr 02 01:21:08 +0000 2019;4;44
1066;@Saroasha ☺️❤️;Tue Apr 02 01:22:00 +0000 2019;1;0
1065;@sydneynycole @CarlsJr We have! It's delicious, but we're slightly bias 😋;Tue Apr 02 17:56:42 +0000 2019;0;7
1064;@KateGrace_97 @MythicalChef We might not be the @MythicalChef but we're here to help! Check out our recipe page to see delicious ways to cook up your #BeyondSausage. Enjoy! https://t.co/A7Hy30pGLg;Tue Apr 02 23:07:55 +0000 2019;0;1
1063;"It's even more beautiful if you tilt your head to the right. 😏 
📸 : @Bareburger https://t.co/tl5UcW0dH6";Wed Apr 03 01:26:00 +0000 2019;11;106
1062;@neopacket Sounds like a great grocery trip! Excited for you to try our products. Check out tasty Beyond Meat recipes here: https://t.co/A7Hy30pGLg;Wed Apr 03 17:32:23 +0000 2019;0;6
1061;"Tonight. 
@GhettoGastro https://t.co/mtZSnsQFP7";Wed Apr 03 19:33:14 +0000 2019;1;11
1060;"We’re excited to announce we've expanded our presence in the culinary world of Singapore. Singaporeans can now pick up Beyond Burgers in dozens of grocers across the country!

Check out where you can find it below. #GoBeyond
https://t.co/3dUdjN1VDh";Wed Apr 03 23:29:11 +0000 2019;30;215
1059;@OliviasSantiago We've got a good feeling 😉;Wed Apr 03 23:48:30 +0000 2019;0;6
1058;When you hit a buzzer beater from way BEYOND the half court line 🙌 @CP3 #BeyondAmbassador https://t.co/hV05AKFo10;Thu Apr 04 04:53:47 +0000 2019;13;177
1057;@DirtyVegazine @honestburgers @rubiesinrubble Someone needs to invent a device that lets us  taste through photos 🤤;Thu Apr 04 20:15:14 +0000 2019;0;0
1056;@Saroasha Yes it does 🙌;Thu Apr 04 23:11:10 +0000 2019;0;0
1055;@ziyatong We thank you for this.;Thu Apr 04 23:23:38 +0000 2019;0;3
1054;Big Shout out to culinary collective, @ghettogastro, for helping us bring #BeyondBeef to the Bronx last night. Ghetto Gastro's Beyond Beef dishes were on another level and made us even more excited to introduce our latest breakthrough product to the world!  #GoBeyond https://t.co/EszrHr3LKD;Thu Apr 04 23:25:05 +0000 2019;15;74
1053;@SportsCenter Our #BeyondAmbassador making us proud.;Thu Apr 04 23:25:22 +0000 2019;0;2
1052;@Zainab73 @MiyokosCreamery We're inviting ourselves over for dinner tonight!;Thu Apr 04 23:28:47 +0000 2019;0;5
1051;@WaltonDustinM @WholeFoods Happy Birthday Dustin!;Fri Apr 05 17:28:07 +0000 2019;0;1
1050;@whitby88 @Stephlovesjays @AWCanada @EstherThePig Looks like the perfect birthday lunch!;Fri Apr 05 17:37:49 +0000 2019;2;3
1049;@meatymcsorley @bunnysnack @bobbystockings @VeggieGrill Love all of this😂;Fri Apr 05 18:24:46 +0000 2019;0;7
1048;@lopezgovlaw @CannibalQueen21 Burrito rolling... a very useful skill to master, congratulations!;Fri Apr 05 18:42:08 +0000 2019;0;2
1047;@BonVegetit @FieldRoast @always5star @Julianna_glass @hmgivingsoul @KKEntGroup @GrnLakeGirl @Jessicasquared9 @SteveKubota @tonyriccawwe @winetraveleats Looks so tasty!;Fri Apr 05 18:42:53 +0000 2019;1;1
1046;"May your weekend be filled with plates full of Tuscan Style Beyond Sausage Pasta.  
Brand new recipe here ➡️ https://t.co/CglPwhwbqE https://t.co/e0bQXpJEZN";Sat Apr 06 00:54:40 +0000 2019;34;165
1045;@uniquepoem It's okay. We are too!;Sat Apr 06 01:04:30 +0000 2019;1;2
1044;"So many #MLB stadiums are going BEYOND. Find out which ballparks are serving up your favorite Beyond Meat products below ⬇️ 
https://t.co/vQr8trMRTT";Sat Apr 06 19:30:06 +0000 2019;21;140
1043;"No Sunday scaries here. 
https://t.co/4GpQV3Rmtl";Sun Apr 07 18:31:00 +0000 2019;21;225
1042;"Coming soon...
@CP3 #GoBeyond https://t.co/QqBLJZX9kx";Mon Apr 08 01:44:42 +0000 2019;3;65
1041;@darlingboymusic Hopefully your first of many!;Mon Apr 08 17:19:39 +0000 2019;0;2
1040;@cooperash_85 Hey Ashley, our products are in over 25,000 retail stores nationwide! Check out our locator to find the closest retailer near you: https://t.co/26DDgDoPWe;Mon Apr 08 17:28:56 +0000 2019;0;0
1039;@DanDan07 Good news, our products are sold in more than 2,500 retail stores across the US! Check out our locator to find a store near you: https://t.co/26DDgDoPWe;Mon Apr 08 17:31:02 +0000 2019;0;0
1038;@berhett_ Good news is coming soon, stay tuned!;Mon Apr 08 17:34:52 +0000 2019;0;1
1037;🚨🚨🚨 https://t.co/vcmqCghAks;Tue Apr 09 04:24:52 +0000 2019;0;57
1036;@plantslayer83 Working on it. Should have exciting updates for you soon!;Tue Apr 09 14:47:06 +0000 2019;0;1
1035;@AllyBurnett Sounds delicious, Ally! We have some brand new recipes coming soon that we think you'll enjoy! Stay tuned and find more recipes here:  https://t.co/A7Hy30pGLg;Tue Apr 09 17:38:59 +0000 2019;0;1
1034;@GamesShed @Justingalore Always love a nice #dadjoke!;Tue Apr 09 17:39:58 +0000 2019;0;1
1033;@kristaflentje @LaurenLoGrasso Magic!;Tue Apr 09 17:40:09 +0000 2019;0;2
1032;@HoveSweetHove99 Check out our locator for a full list of grocery stores and restaurants that carry the Beyond Burger: https://t.co/26DDgD7f4G;Tue Apr 09 18:00:12 +0000 2019;0;0
1031;@Runningman1111 @MCG2000 @Mets @CitiField To clarify, since this screenshot was taken (2013), we've expanded our product line and currently only our Beyond Sausage is Kosher certified. We hope to expand our kosher certification to other products later this year.;Wed Apr 10 00:14:14 +0000 2019;0;0
1030;"As a Beyond Ambassador, NBA star and head of the NBA Players Association, @CP3 leads by example in everything he does. 

“What I put in my body matters now more than ever. As a parent, I’m always reminded of that. And to #GoBeyond in everything I do.""

➡️ https://t.co/T0PhHgVG7N https://t.co/0CDXP6EIOW";Wed Apr 10 16:35:14 +0000 2019;13;84
1029;@dinnerwithjulie @BiteYYC @BlushLaneCalg @CBCEyeopener Our products are available at over 2,500 stores nationwide! Check out our locator to find the closest spot near you: https://t.co/26DDgDoPWe;Wed Apr 10 18:01:29 +0000 2019;0;3
1028;@Zainab73 Yum!;Wed Apr 10 18:48:39 +0000 2019;0;0
1027;@RobynInRealLife @CarlsJr Glad you finally got the Beyond Famous Star in your hands! Be sure to stay on top of our newest announcements by signing up for our newsletter: https://t.co/O2H2eu3BMX;Wed Apr 10 18:51:03 +0000 2019;0;1
1026;@whaler32 @laurieee2 @daily_levidrome Good news, David! #BeyondSausage is available in more stores than ever.  Check here to see if they are in a store near you: https://t.co/4GpQV3zL4L;Wed Apr 10 23:53:44 +0000 2019;1;3
1025;"Tuscan Style #BeyondSausage Pasta 😋 

Try the full recipe here: https://t.co/CglPwhwbqE https://t.co/B6P8R8dRxP";Thu Apr 11 00:41:01 +0000 2019;13;80
1024;@LOUISAGUIRRE @indigo_15 @BurgerKing This is so great to hear, thanks for all of your support, Louis!;Thu Apr 11 21:10:37 +0000 2019;0;2
1023;"After seeing huge success at select @Coles markets across Australia, the Beyond Burger has expanded to 175 more locations throughout Queensland!

Aussie fans, learn more below #GoBeyond
https://t.co/kQwbati3Sw";Fri Apr 12 01:15:39 +0000 2019;17;97
1022;#GoBeyond https://t.co/ICnvSHHDaA;Fri Apr 12 19:45:52 +0000 2019;33;126
1021;@CP3;Fri Apr 12 19:57:22 +0000 2019;0;6
1020;@KyrieIrving;Fri Apr 12 19:57:31 +0000 2019;0;7
1019;@DeAndre;Fri Apr 12 19:57:54 +0000 2019;0;4
1018;"In the pursuit of the remarkable, there is only one place to go… #GoBeyond 

Have you seen our latest video featuring NBA All-Star @ChrisPaul? Check it out below ⬇️  https://t.co/2jkncqD2wv";Sun Apr 14 18:26:47 +0000 2019;15;47
1017;"Beyond Meat ❤️ Australia. 

ICYMI: Our Queensland fans can now purchase the  Beyond Burger in 175 @Coles locations! Click here to find a store near you ➡️ https://t.co/GzfvWtc9bn https://t.co/z4hxY8Qwat";Mon Apr 15 00:55:01 +0000 2019;11;58
1016;@deanobrown @JessLReid Hey Peter, our products are made from pea protein and are soy free, gluten free and GMO-free. Learn more information about #BeyondSausage and the #BeyondBurger here: https://t.co/BwooIfeWQc;Mon Apr 15 15:29:56 +0000 2019;0;1
1015;@johnpiex Hi there. Can you please email us at ethanandteam@beyondmeat.com so we can learn more and help make things right?;Mon Apr 15 15:30:26 +0000 2019;0;1
1014;"Awesome things come to those who wait... Beyond Tacos are coming to ALL @DelTaco locations on April 25th! The countdown starts now. 

Learn more ⬇️

https://t.co/rWQZ5oCR4o";Mon Apr 15 17:59:28 +0000 2019;199;835
1013;Let's go! https://t.co/DZFIapzQYg;Mon Apr 15 18:32:35 +0000 2019;53;302
1012;@JustaPBRFan @DelTaco 😂;Mon Apr 15 20:09:10 +0000 2019;0;3
1011;@marcpalmerdev @unionmarketrva Thanks for letting us know, Marc! The link should work now.;Mon Apr 15 20:31:42 +0000 2019;0;0
1010;"Awesome things come to those who wait... Beyond Tacos are coming to ALL @DelTaco locations on April 25th! The countdown starts now. 

Learn more ⬇️https://t.co/rWQZ5olgcQ";Mon Apr 15 23:50:00 +0000 2019;37;185
1009;@kimijtoo Don't worry! It's 100% plant-based, soy-free, gluten-free and GMO-free 🥳;Tue Apr 16 00:06:40 +0000 2019;0;4
1008;@happifull Good news coming soon! Stay tuned by signing up for our newsletter: https://t.co/O2H2eu3BMX;Tue Apr 16 17:50:21 +0000 2019;0;1
1007;"We could be biased, but great food helps grow the best ideas. We’re BEYOND excited to be serving up our delicious plant-based meats to the world’s brightest visionaries at #TED2019. If you’re here, come get a taste of the Future of Protein! #GoBeyond

 @TEDTalks https://t.co/RZJ8J8I2vc";Tue Apr 16 19:34:16 +0000 2019;43;233
1006;"Beyond Meat hits the Spot!  The iconic British Columbia restaurant chain, @White_Spot, has officially added the #BeyondBurger to its mouthwatering menu. 

Learn more ⬇️ #GoBeyond
https://t.co/VWo8oJdvB4";Wed Apr 17 16:58:12 +0000 2019;12;64
1005;@v2kate @turtlelipsns Sounds delicious!;Wed Apr 17 18:50:43 +0000 2019;0;2
1004;@cindy_tapp This is so great to hear, Cindy!;Wed Apr 17 20:14:01 +0000 2019;0;2
1003;@cooperash_85 @TEDTalks Hey Ashley, check out our locator to find more stores and restaurants near you! https://t.co/26DDgDoPWe;Wed Apr 17 20:18:07 +0000 2019;0;0
1002;"Time to stuff your face with these #BeyondSausage Stuffed Peppers.

Full recipe here ➡️  https://t.co/5oDxAGgLF0 https://t.co/pqOt1s9s4E";Thu Apr 18 00:30:41 +0000 2019;65;240
1001;@Violetsouffle 🤣;Thu Apr 18 04:30:08 +0000 2019;0;1
1000;@_Lovely_Jubley_ It's beautiful!;Thu Apr 18 15:28:11 +0000 2019;0;0
999;@KathyMacRae1 @SaraHall3 @restdaybrags @AWCanada Looks perfect!;Thu Apr 18 20:40:34 +0000 2019;0;1
998;@WholeFoods @DOTK2587 https://t.co/ltxA4HyonG;Thu Apr 18 21:57:15 +0000 2019;0;4
997;@IoTPanic Hey Samuel, we do not recommend freezing the Beyond Burger patties after they have been defrosted. However, if the patties are already frozen when you purchase them they will last in the freezer.  For ultimate flavor, we recommend defrosting the patties 24 hours before cooking.;Thu Apr 18 23:39:58 +0000 2019;0;0
996;"#BeyondAmbassador &amp; NBA All-Star @CP3 leads by example in everything he does. And what he does off the court, like incorporating plant-based meat, directly impacts his power on the court to push harder and #GoBeyond.

Learn more about Chris Paul here ➡️  https://t.co/T0PhHgVG7N https://t.co/qxz7GnYfIa";Thu Apr 18 23:49:15 +0000 2019;17;83
995;@Krys_1920 Stay tuned 😉;Fri Apr 19 17:57:40 +0000 2019;0;1
994;@jazy_simply So happy you were able to enjoy family time and the #BeyondBurger! Sounds like a perfect night.;Fri Apr 19 17:58:37 +0000 2019;1;1
993;@renee13 @StunCreative Love it!;Fri Apr 19 18:01:44 +0000 2019;0;1
992;@jjjosh333 Yum!;Fri Apr 19 18:04:30 +0000 2019;0;1
991;@budwitch It's the little things that make a big difference! Keep on going, we're so glad we can be a part of your delicious meals ❤️;Fri Apr 19 18:06:55 +0000 2019;0;1
990;@JHarm0ny 😋;Fri Apr 19 18:09:10 +0000 2019;0;1
989;@IoTPanic Sorry to hear this, please email us at ethanandteam@beyondmeat.com so we can help make your experience better.;Fri Apr 19 18:10:17 +0000 2019;0;0
988;"We're going to work. The #BeyondBurger is now on the menu at @WORKSBURGER in Canada.  

Find a location near you: https://t.co/26DDgD7f4G https://t.co/yP995XQ5lU";Fri Apr 19 22:02:53 +0000 2019;19;122
987;@sammyjhyde Hmm, not sure what happened here but we want to make it right. Please email us at ethanandteam@beyondmeat.com so we can better assist you. Thanks!;Fri Apr 19 22:06:20 +0000 2019;0;0
986;@raeannasam @DouglasGHunt @WORKSBURGER Stay tuned for good news!;Fri Apr 19 23:23:50 +0000 2019;1;4
985;"Looks good, tastes even better 😋 

#BeyondSausage Stuffed Peppers recipe here ➡️ https://t.co/5oDxAGgLF0 https://t.co/XxCX4UQUys";Fri Apr 19 23:42:01 +0000 2019;16;90
984;".@DelTaco Countdown: 5 Days

https://t.co/Kh5DAPEqRb";Sat Apr 20 14:21:01 +0000 2019;18;118
983;"A perfectly cooked Beyond Burger delivered straight to your door? Dreams do come true.

@TrifectaSystem 

https://t.co/C2CNiPzl2o";Sun Apr 21 17:53:00 +0000 2019;24;100
982;"@RealLifeKaz You no longer need to give up meat to give up meat. Check out the 100% plant-based #BeyondBurger &amp; #BeyondSausage which have more protein than traditional meat to see what we mean! https://t.co/BwooIfeWQc";Mon Apr 22 17:02:19 +0000 2019;0;2
981;"#GoBeyond this #EarthDay. It makes intuitive sense that if you take the animal out of the equation, you can make meat much more efficiently, but how much more?

Click here to see the full environmental impact of the #BeyondBurger vs beef ➡️ https://t.co/WRujJv7OPB https://t.co/khOVF774zo";Mon Apr 22 19:06:04 +0000 2019;196;486
980;@RoseBrown05 🙌❤️🌎;Mon Apr 22 21:08:57 +0000 2019;0;1
979;Beyond Meat® Announces Entrance into Canadian Retail Timed to the Start of Summer BBQ Season | Business Wire https://t.co/PuAUluvthN;Tue Apr 23 13:24:58 +0000 2019;86;433
978;"Canada, the wait is almost over. The #BeyondBurger is coming to the meat case!

Learn more here ➡️ https://t.co/PYqsI7ibFj https://t.co/eeuWR0Xh9K";Tue Apr 23 14:32:55 +0000 2019;45;260
977;@JudiSunshine @Michellesfunny 😍;Tue Apr 23 17:16:04 +0000 2019;0;3
976;@AmyoftheDean @Channel4 @BillGates @LeoDiCaprio Hi there! You can actually find the Beyond Burger in Tesco markets and many restaurants throughout the UK! Use our locator to find the closest spot to you: https://t.co/26DDgDoPWe;Tue Apr 23 19:36:33 +0000 2019;1;1
975;@laurenraymusic 🙌🙌🙌;Tue Apr 23 20:48:02 +0000 2019;0;1
974;@konkeitedkris Hey Kris, our products are sold in retail and restaurants nationwide.  Check out our locator to find a restaurant near you: https://t.co/26DDgDoPWe;Tue Apr 23 20:50:29 +0000 2019;0;0
973;"It’s official, our Belgian friends will be able to pick up the Beyond Burger in the meat case at @DelhaizeBelgium starting the 25th of April. 

Read more below! #GoBeyond

https://t.co/PkWMCqyKdS";Wed Apr 24 14:37:44 +0000 2019;7;114
